text,true,pred,confidence,correct
ดีนะชอบ volvo ยี่ห้ออื่นเลยไม่ค่อยอยู่ในสายตา วันหนึ่งเอารถไปคาร์แคร์ เจอ cla จอดต่อท้าย vios ดูเทียบกันแล้วขนาดเท่ากันเลย,pos,neg,0.394,False
บางทีญาตินี่ล่ะตัวดี! คนเป็นโรคประสาทจะส่งเข้ารพ.กลัวค่ารักษา แม่งถีบส่งเข้าวัดฝากภาระไว้กับพุทธศาสนาเข้าไปอีก,neu,neg,0.861,False
"ยอดขายรถยนต์กลุ่ม C-Segment ในเดือนกุมภาพันธ์ที่ผ่านมา Honda Civic นั้นยังคงครองอันดับ 1 ตั้งแต่เปิดตัว ด้วยยอดขายกว่า 2,000 คันทุกเดือน . ขณะที่ในกลุ่ม D-Segment นั้น Toyota Camry และ Honda Accord นั้นยังคงเป็นคู่ปรับตลอดกาล ซึ่งทั้งคู่ต่างก็มีรุ่น Hybrid ทำตลาดเช่นกัน โดยอันดับ 1 นั้นตกเป็นของ Honda Accord ตามาด้วย Toyota Camry และ Nissan Teana ตามลำดับ . ใครสนใจรถค่ายนี้อยู่ไปดูกันครับว่ามีรุ่นไหนเด็ดๆ อีกบ้าง",pos,neu,0.882,False
เลี้ยงสิคับ 😁😁😁,pos,neu,0.6,False
มาสด้า2 2018 สีแดงตัวท๊อปมายังคับ,neu,q,0.805,False
ท้ายมีกลิ่นอาย audi หน่อยๆ ถ้าอยู่ในแอคคอด mc นี่เยี่ยมเลย,neu,pos,0.531,False
คือรถคว่ำอะมีสติแค่ไหนก็คือสำลักน้ำอยู่ดี ขนาดแค่ก้มสระผมยังหายใจไม่ออกเลย,neu,neg,0.932,False
ไม่มีบัตรสมาชิก ต้องทำก่อน,neg,neu,0.719,False
เท่ห์จัง ทั้งรถ ทั้งพี่อ่ะค่ะ #ubeer,neu,pos,0.844,False
โปรนี้กับหม้อ4 ช่อง ไม่ทุกสาขานี่,neg,neu,0.655,False
ลูกชิ้นหมูชีส,pos,neu,0.693,False
ไม่เคยเห็นมันซื้อกิน .,neu,neg,0.682,False
หลังบ้านมีนะ,pos,neu,0.849,False
วันไหน ขับรถมารับกุที55,pos,neu,0.561,False
หีวววววว ข อ ง ห ว า น,pos,neu,0.896,False
เปลี่ยนจากคำว่ารักเป็นเบียร์ช้างลังนึงได้ป่าว,pos,neu,0.858,False
ใช้ทุกสูตรของกานิเย่แต่สูตรนี้ยังไม่ได้ลองขอให้ได้ขอให้โดนด้วยเถอะคะ อยากได้จริงๆ,neu,pos,0.799,False
ใช้บัตรของตัวเองใช้ของแฟนได้ป่าวครับ,neu,q,0.804,False
น่าลดเฟรนฟายด้วยส่วนใหญ่เด็กๆชอบ 😁,pos,neg,0.926,False
"งง เงิน50,000เปิดบันชีประจำ คือ?????",neu,neg,0.838,False
มาแล้วๆ,neu,pos,0.599,False
มีซุปดำด้วยยย,neu,pos,0.526,False
อยากกินบาร์บีกอนคัตสรรเซตหมู 🐽🐽🐽🐽🐽#BARBQPlaza 💕,neu,pos,0.945,False
รำ,neg,neu,0.732,False
นับวันยิ่งเพี้ยนเนอะ,neu,neg,0.596,False
รู้จักเครื่องสำอางแบรนด์แรกเลยคือ Lipstick Mistine ค่ะ เพราะเคยเรียนการตลาด อาจารย์ให้ขาย แคตตาล็อกมิสทีน ขายดี ขายง่ายมากค่ะ #LASHESactivity,neu,pos,0.576,False
accord.เครื่องดี.เบรคดี.เกาะถนนดี.ขับแล้วมั่นใจ.สบายใจหายห่วง.ใช่มาตั้งแต่รุ่นแรก.ตอนนี้รุ่นที่เท่าไรแล้วไม่รู้,neu,pos,0.93,False
เราน่าจะกินอันนี้คุ้มกว่า,neu,pos,0.76,False
กันชนหน้า ดีแม็ก 2018 มีแบบไหนบ้างคับ,neu,q,0.876,False
นิสสัน อัลเมร่า ขับจากยะลา ไป กทม. ตั้งหลายครั้งไม่เห็นจะปลิวเลย ปล.แฟนขับนะค่ะ,pos,neg,0.622,False
แสงโสมแค่ชื่อก็เมาแล้ว,neu,neg,0.548,False
หรือหมูจุ่มดี,neu,pos,0.81,False
มันหมดโปรวันที่ 29 อีควาย,neu,neg,0.951,False
ขับยาริสตัวเจยังเบ่งได้ขนาดนี้ 555,neu,neg,0.82,False
นี่ยังไม่รู้เลยว่าโลตัสมีไหนบ้าง 🤔,neu,neg,0.66,False
พึ่งบอกจะทำกานหยกๆงงมัก,neu,neg,0.707,False
คงจะเหนื่อยหน่อย ราคาขนาดนี้ มีตัวเลือก มากมาย และรถแบบเดียวกัน คงจะเดินรอยตาม นิสสัน Juke,neg,neu,0.616,False
/Cetaphil Oily Skin Cleanser/Acne-Aid liquid cleanser ตอนนี้มีสามตัวนี้ละ ต้องซื้อยี่ห้อไหนอีกมะ 555,neu,q,0.984,False
Dongfeng-Nissan ค่ายรถร่วมทุนในจีน..โชว์รถ SUV แนวคิดสุดหรู ดีไซน์ไม่แพ้ค่ายรถยุโรป!!,pos,neu,0.894,False
หิวเบยพี่โม,neu,pos,0.747,False
แคมรี่เก่าคับ,neg,neu,0.79,False
กินดีกว่า285...นุ่มกว่าและไม่เมาค้าง,neg,pos,0.733,False
ได้เวลากินแมค,neu,pos,0.755,False
คล้าวก่อนยังอ้วกยุ,neu,neg,0.486,False
ถามเงินกูก่อนไหม สุด!,neu,neg,0.656,False
ม่ายยล่ายเลยคับ ควรไปนอน,neg,pos,0.349,False
สรุปว่าตำรวจเจอ e cig ที่ไหนก้อจับได้เหรอคับ,neu,neg,0.781,False
เราไม่เคยโทษดาราเวลาใช้อยากโง่ไม่ศึกษาให้ดีต่อให้โครตดาราก้โดนหลอกได้.ชิ้นงานระดับนี้ลองเทียบกับพวกที้โฆษนาในโทรทัศดูสิมันคนละเกดกันเราไม่เคยศัทธาครีมที่ขายตามออนไลทั้งหลาย..ถ้ามันดีจริง. พอนด์เอย กานิเย่เอย ลอบิอัลเอย ทำไมเค้าไม่ทำออกมาขาย. ครีมเมือกหอยทากอะไีๆอีกหลายอย่างบริษัทครีมที่มีระดับเค้าไม่ทำกัน,neu,neg,0.845,False
ซื้อสิค่ะ5555,neu,pos,0.611,False
ชวนมากินแสงโสมด้วยดิปอ 5555,neu,pos,0.619,False
เพลงประกอบโฆษณาผ้าอนามัย 🙄,neu,neg,0.758,False
ยังไม่พอ บวมอีก 🤣🤣,neu,neg,0.512,False
จริงงง,neu,pos,0.516,False
เลือก C-HR สีแดงค่ะ สวย เด่น ร้อนแรง น่าค้นหา,neu,pos,0.87,False
สาเหตุที่รถ MG ราคาถูกก็เพราะว่าเขาเอากำไรน้อยไงล่ะ 555,neu,neg,0.431,False
ถ้าลดได้จะพาไปกินบาบีก้อน ผ่ามมมมม,neu,pos,0.731,False
จัดแปะ,neu,pos,0.798,False
พรุ่งนี้ก็วันปีใหม่หลายๆคนคงจะแฮปปี้ ยิ้มร่าเริงเพราะได้หยุดยาว พักผ่อนชารต์พลังกาย และพลังใจให้เต็มที่เตรียมพร้อมสำหรับปีหน้า แต่ปีใหม่ทั้งทีให้นอนอย่างเดียวก็คงไม่ไหว วันนี้ #โรงพยาบาลกรุงเทพจันทบุรี ขอเสนอ 5 สิ่งที่ควรทำในวันปีใหม่ จะตรงใจใครกันบ้างตามไปดูกันเลย,pos,neu,0.784,False
สุดเลยยย,pos,neu,0.497,False
ไม่รู้ว่ะ,neu,pos,0.619,False
ไปเดะๆมีเหล้าแบล็ค,neu,pos,0.882,False
PR ไม่ชัดเจนนะครับ สื่อที่ตั้งที่ร้านก็น่าจะขยายตัวโตๆให้เห็นคำว่า**เฉพาะจันทร์-ศุกร์** ให้ชัดเจน เข้าใจว่าอาจเป็นการตลาด แต่ก็ควรจะใจเขาใจเราบ้างนะครับ,neu,neg,0.799,False
MGB MKI ตอนแรกคิดว่า จะทำโช๊คเดิมให้สมบูรณ์ แต่ ด้วย ยุคสมัยเปลี่ยนไป และ สภาพถนนประเทศไทย ไม่เอื้ออำนวย จนทนไม่ไหวจึงต้อง จัดชุดเสริม เพื่อใส่โช๊คแบบรถรุ่นปีใหม่ ให้ขับบนถนนได้อย่างเต็มประสิทธิภาพของเครื่องยนต์ 1800ซีซี #telescopicos #shockabsorber #mgb #mgc,neg,neu,0.509,False
กินประจำช้าง เมาอยู่นะ,pos,neu,0.83,False
คนที่ดูบุหรี่ไฟฟ้า ส่วนใหญ่เค้าพยามเลิกบุหรี่มวล พยามเลิกสิ่งเสพติด,pos,neu,0.554,False
เบียร์ช้างขวดละ120แดกชาตินี้เมายันชาติหน้าเลยมั้ง,neu,neg,0.947,False
มาสาย4ดีกว่า,neu,pos,0.458,False
เทคนิคการป้องกันผิวรับซัมเมอร์ ก็ต้องทาครีมกันแดดสิค่ะออเจ้า เหตุผลที่อยากได้ Kiehl's Daily UV Defense เพราะเป็นทั้งกันแดดกันแก่ซึมไวไม่ทิ้งคราบ,neu,pos,0.643,False
รุ่งฤดี แปงนุจาฟิวเจอร์พาร์คมีนะ🤪,pos,neu,0.889,False
ลุ้นให้พี่ก้อน ลดราคาสู้กระแส.... รอกินจ้ะ หมอยืนยันแล้วว่า พยาธิถ้าสุกกินได้ เราสู้!!,neu,pos,0.557,False
ไปๆๆ ต้องกินช้างจากห้องไปกันก่อนจัก2ลัง ย่านเบียร์แพง กุย่านกุบ่เมา 😅😅,neu,neg,0.454,False
ช้างสนับสนุนเดอะช็อก .. ใครกินลีโอ สิงห์ ถือว่านอกใจ,neu,neg,0.938,False
งานนี้ต้องจัด,neu,pos,0.619,False
เค้าดูดบุหรี่ไฟฟ้า,neu,pos,0.574,False
L'Oréal Paris ได้เลยค่ะ พอดีใช้เดย์ครีมอยู่ค่ะ ไม่ต้องใช้รองพื้นหรือBBแล้ว เดย์ครีมเอาอยู่ค่ะ ชอบมาก เลยหาซื้อไนซ์ครีม และมาร์คมาเพิ่มค่ะ,neg,pos,0.962,False
แสดงสด มหาหิงค์ งานลีโอเบียร์ concert มันส์ๆเบสหนักๆ,neg,neu,0.872,False
ขอบคุณค่ะแต่ก่อนอยู่กรุงเทพใช่อย่างแพงแต่เดี่ยวนี้5ปีแล้วเลยใช่แค่นี้พอ5555,neu,neg,0.819,False
ตอนอยู่ญี่ปุ่น เวลาไฟฟ้าดับใช้วิทยุใช้ถ่าน. รัฐบาลแนะนำ,neu,neg,0.714,False
มาเลี้ยงด้วยตอนกลับ,pos,neu,0.614,False
นิสสันมาร์ชดาว2900ส่งงวดละเท่าไหร่ค่ะ,neu,q,0.898,False
เข้าไทยเมื่อไหร่ครับ,neu,q,0.952,False
วันพุธได้มะ5555,neu,pos,0.567,False
กุหิว,neu,pos,0.524,False
ช่วงที่1| มาดูคุณธนาธรแก้ปัญหาฝุ่น PM 2.5 แบบเฉียบๆ #เปิดใจกับป๊อกกี้ #ไทยรัฐเลือกตั้ง62 #TheRapper2 #ไทยรัฐดีเบต,pos,neu,0.932,False
เพื่อนพร้อมใจก้อพร้อมดิ 55,pos,neu,0.532,False
อ้วนจ๋า,pos,neu,0.575,False
เอา ดีแม็ก1.9คันนึง,pos,neu,0.813,False
พี่สาวเป็นมะเร็งเต้านมระยะ2-3 รักษาอย่างไรดีครับ,neu,q,0.815,False
เขาไม่ได้มูฟออนจากเราได้เร็วหรอก แต่เขาไม่ได้เดินไปกับเราตั้งแต่แรกต่างหาก,neg,neu,0.508,False
อยากให้เสียภาษีถูกต้องและจำกัดอายุ,pos,neg,0.884,False
ฮอนด้าบรีโอ้มีไหมค่ะ,neu,q,0.652,False
นิสสัน นาวารา ใหม่! คือเทคโนโลยีที่เปลี่ยนให้ทุกปัญหากลายเป็นเรื่องง่าย,pos,neu,0.814,False
เอ้อ ทำใจยากจังจะโทรสั่งก็ไม่ได้ฟิว 5555,neu,neg,0.855,False
Fc. นาวาร่า,pos,neu,0.913,False
เอาบาบีก้อนก่อนนนน,neu,pos,0.838,False
คงฮาแบบดาร์คๆถ้าบาร์บีก้อนแถลงแจกยาถ่ายพยาธิ,neg,neu,0.699,False
ทำไมไม่มีเสาร์-อาทิตย์ค่ะ,neg,q,0.909,False
หิวเด้อ,neu,pos,0.824,False
ดูก่อน,neu,pos,0.616,False
หวาน ขมคอ,neu,neg,0.939,False
เลิกได้จิง กลับไปสูบบุหรี่มวนไม่ได้แถบอ้วกเลย,pos,neg,0.929,False
MK ยิ้มกริ่มเลย พรุ่งนี้หมี่หยกเต็มร้าน หิวจัด ไม่ต้องเสียค่าโฆษณายุ่งยาก เป็นไวรัล ติดเทรนเรียบร้อย เพราะเรื่องวิธีการกินล้วนๆ 5555 😁😅,neu,pos,0.861,False
เพื่อไทยหนองคาย และอนาคตใหม่ภาคใต้ งานนี้เผด็จการมีหนาวค่ะ,pos,neu,0.492,False
ออนิวดีแม็คปี12เครื่อง3.0เปลี่ยนครัชเท่าไหร่ครับ แบบนิ่มๆอ่ะครับ,neu,q,0.76,False
แพทไปรายการไหนก็จะเอาDr.jillมา,neg,neu,0.922,False
ของหวานยังไม่หมดเลน,neu,pos,0.5,False
งื้ออออ😍😂.,neu,pos,0.666,False
เทียน่าหรือซิลฟี่คับ,q,neu,0.819,False
กินไปเรื่อยๆจะอ้วก,neg,pos,0.512,False
คำแพง ไมค์ ภัทรเดช พลังเสียงบ้านนี่สุดยอด👏🏻👏🏻👏🏻 งาน isuzu d-max blue power family day ที่อีซูซุ แพร่#mike_pattaradet #mike_pattaradet_fanclub #bemylovemike #isuzu,neg,neu,0.777,False
Want,pos,neu,0.791,False
ต้องมานอนนี่ดิ,pos,neu,0.519,False
สังคมไทยมีค่านิยมเรื่องการประสบความสำเร็จในชีวิต คือการเป็นคนรวยใจดี สิ่งนี้เป็นสาเหตุของกับความเหลื่อมล้ำ อย่างไร หากใช่ควรทำอย่างไร ลับสมองกันได้ที่มติชนรายสัปดาห์เล่มล่าสุดโดย kamphaka เขียนไว้ดีมาก,pos,neu,0.594,False
น้องเนย ไงกินอีกไหม555555555,neu,pos,0.543,False
ถุย55,neu,neg,0.86,False
ดีค่ะ กานิเย่อยากได้อยากขาว,neu,pos,0.937,False
"บางคนแค่ขึ้นชื่อว่านิสสันก็อี๋แล้ว แต่เอาจริงๆมันสวยกว่าmu-x,trailblazer พอๆกับ everest แต่ไม่หวือหวาเท่า pajero sport กับ fortuner ยังไงดีละ ถ้าราคามันได้ ออฟชั่นมันโดน มันก็น่าจะขายได้ แค่ขอให้ศึกษาชาวบ้านเขาว่าเขาไปถึงไหนแล้ว เขาให้อะไรมาบ้าง อย่าให้น้อยหน้าเขามันก็น่าจะขายได้แหละ",neu,neg,0.577,False
เครถ้าไม่กล้บบ้านน๋า,pos,neu,0.519,False
ชิ้นส่วนนี้คือรถ TOYOTA C-HR,pos,neu,0.942,False
น้ำหอม dior เท่าไหร่ค่ะ,neu,q,0.984,False
ใช้กับ camry hybrid ปี12ได้มั่ยครับ,neu,q,0.929,False
อย่าไปฟังเยอะครับผมก็ใช้ เรนเจอร์ Wildtrak อยู่ ไม่กังวลเรื่องเกียร์ เท่าไหร่ Ranger Raptor เกียร์อัตโนมัติแบบใหม่ 10 Speed ใช้อยู่กับ Ford f 150 Raptor กับ Ford Mustang เครื่องยนต์ก็ทนอุณหภูมิได้สูงสุด 860 องศาเหนือกว่ากระบะใดๆในบ้านเรา,neg,pos,0.662,False
มาเลย,neu,pos,0.587,False
รอๆๆๆๆ,neu,pos,0.783,False
มาค้าบ,neu,pos,0.56,False
คุ้มตรงไหนวะบะหมี่จานเปน100,neu,neg,0.958,False
#innisfree super volcanic pore clay mask น้องคนนี้ช่วยกระชับรูขุมขน ทำความสะอาดสิ่งสกปรกจากรูขุมขน แถมลดความมันบนใบหน้าได้ด้วยน้า 🌿💚 #howtoperfect #ชี้เป้าโปรถูก #ถูกและดี #ripไอดอ #ถูกบอกต่อ #ของมันต้องMe #พื้นที่โปร #ไว้ขายของห้ามรีวิวโว้ย #ไว้ขายของห้ามรีวิวโว้ยย,pos,neu,0.328,False
บุหรี่ไฟฟ้าผิดหรือ,neu,neg,0.869,False
อ่านสรุปได้ว่า... ยืนยันเบื้องต้นว่าไม่ใช่พยาธิ แต่จะเป็นอะไรนั้น ตอนนี้ส่ง lab ตรวจสอบอยู่ และจะได้ผลภายใน 7 วัน... #บาบีก้อน #บาร์บีคิวพลาซ่า,neg,neu,0.553,False
กันน้ำกันเหงื่อ ไม่มีแอลกอฮอลล์ \ #สวยกล้าท้าทุกแสง #คู่หูท้าแดด #kmacosmetics,pos,neu,0.613,False
เค,neu,pos,0.545,False
งานเลิกกี่โมงคะ,neu,q,0.539,False
ดูดกัญชาดีกว่า,neu,pos,0.739,False
อยากกินซูชิ,neu,pos,0.618,False
เนาะๆๆๆๆ 😍,neu,pos,0.551,False
อ้อนหน่อยย,neu,pos,0.515,False
ใครเลี้ยง,neu,pos,0.615,False
สมัครบัตรสมาชิกเท่าไหร่คะ บัตรแต่ละสีต่างกันอย่างไรคะ (ถ้าสมัครบัตรในเดือนเกิด ใช้สิทธิ์ได้เลยไหมคะ),neu,q,0.926,False
เลยปะล่ะ,neu,pos,0.666,False
ลาจากเบียร์ช้าง มาโซยลีโอ,pos,neg,0.497,False
เลี้ยงหน่อย 😆,neu,pos,0.627,False
ไปแหละหิวพอดี,neu,pos,0.899,False
ล่าสุดร้อง กินอะไร กินอะไรไปกิน mk แม่งงง 555555555,neu,neg,0.641,False
ป่าวๆ แคมรี่มีโปรล่อ แอคขอดเลยขายไม่ออก อ่านยัง,neu,neg,0.688,False
แถวบ้านผมร่อยกว่าเยอะครับ😆,neg,pos,0.795,False
ลดแต่จันถึงสุกอีก,neu,neg,0.487,False
ลดความอ้วนไว้ก่อน ราคาHot pot กำลังลด,pos,neu,0.661,False
เอ้า เหมือนจะไม่รอด,neu,neg,0.88,False
และบางวันที่รู้สึกถึงผิวโทรม ดูอ่อนล้า แห้งเสียเป็นพิเศษให้สลับมาตบเบาๆ ด้วย Hada Labo Premium Lotion นะคะ :),neg,neu,0.741,False
พามาเลี้ยง วันเกิดแม่,pos,neu,0.776,False
เฮียครับแฟนผมหัดถอยหลังเข้าซองบ่อยจะไปทำใบขับขี่พวงมาลัยหนักแจ๊สGKครับ,neg,neu,0.813,False
มือใหม่ขอถามหน่อยครับ5หมื่นโลเลิกเข้าศูนย์แล้วมีผลอย่างไรบ้างครับ TOYOTA Revo เข้าบีควิกหรือร้านข้างนอกได้ไหมคับ,neu,q,0.975,False
ยะลา,pos,neu,0.452,False
ไปนั่งเป็นเพื่อนหน่อยดิ๊ 55,pos,neu,0.641,False
อย่าร้องผิดเด้อ55 เห็นไฮเนเก้นหลายขวดอยู่นะ,pos,neu,0.877,False
อ่อคับๆ จะได้ลองกินมั่ง,neu,pos,0.756,False
วันนี้ที่ได้สีไม่ใช่แบบนี้อ่ะก้อน,neg,neu,0.445,False
ชวนเพื่อนปะ,neu,pos,0.73,False
บ่ดอก คือบ่หลายกลมยุ,neg,neu,0.614,False
เนื่องในวันครู ขอบคุณครูทุกคนที่สอนให้เราคูล เชิญ Tag เพื่อนทุกคนที่สอนให้คุณรู้จักปาร์ตี้ #SangSom #RedefineFullMoon,pos,neu,0.689,False
สินค้าควบคุมเห็นด้วยอย่างแรง....,neu,neg,0.657,False
โฮลิกาๆกับคิ้วเพลสมายเมโลดี้อะไรจะดีกว่ากันวะ,q,neu,0.438,False
มีปล่อยอิสระบ้าง แต่ส่วนมากไม่ถึงชั่วโมง เป็นเวลากินข้าว หรือไม่ก็ให้นั่งให้ยืนโง่ๆ การบรีฟงานก็ห่วย ไม่ต้องบรีฟก็ได้ ถึงเวลาจริงการบรีฟไม่ช่วยอะไรเลย บอกมีปัญหาให้ติดต่อสตาฟบางคน ถึงเวลาจริงติดต่อไม่ได้ ถ้ารับมือไม่ได้ก็โดนด่าทั้งลูกค้าทั้งจากบริษัทเอง,neu,neg,0.982,False
จริงหิวววว,neu,pos,0.862,False
วันอื่นไป,neu,pos,0.867,False
ก่อนเปิดเทอมแดกเอมเคกันมั้ย น่ากินนนนอ้า,neu,pos,0.966,False
ว่ามาคะ,neu,pos,0.644,False
สวัสดีครับ คุณมีน ไม่ทราบว่าคุณมีนเข้าใช้บริการที่สาขาใดครับ ที่พบปัญในเรื่องของเครื่องดื่มรสชาติจืด ก้อนจะได้แจ้งฝ่ายที่เกี่ยวข้องให้ทำการปรับปรุง แก้ไขให้ดียิ่งขึ้นต่อไปครับ,neg,neu,0.814,False
คุณอาร์โนด์ เบียเลคกิ ประธานบริหาร โซเด็กซ์โซ่ ประเทศไทย เป็นตัวแทนบริษัท มอบเช็คสินไหมกรณีเสียชีวิตของนายกฤษดา สำราญ (นักโภชนากรประจำที่สาขาโรงพยาบาลสมิติเวชศรีนครินทร์) จำนวนหนึ่งแสนบาท ให้แก่ครอบครัวตามที่ได้ระบุผู้รับผลประโยชน์ไว้ บริษัทขอแสดงความเสียใจมา ณ โอกาสนี้ด้วยค่ะ,neg,neu,0.98,False
โอ๊ยยยอยากกินแสงโสม,neu,pos,0.918,False
อ่างทอง,neu,pos,0.557,False
ไม่ต้องล้าว 299 ตลอดงานนนนน,pos,neu,0.762,False
แหม่ ใช้หน่อยเถอะคุณณ,pos,neu,0.682,False
ใช่ๆกินแค่นี้พอ55555,neu,pos,0.532,False
แถวรามคำแหงและศรีนครินทร์มีสาขาไหนร่วมรายการบ้างคะ,pos,q,0.901,False
หลังจากกินไปได้ซักพัก,neu,pos,0.415,False
อ่านย่อหน้าสุดท้าย คือจบเลย รถดีๆอย่างNissan ทำไมการตลาดต้องแย่กว่าเพื่อน รอNew SylphyกับTeanaอย่างจริงจัง ไม่รู้อนาคตในไทยจะเป็นยังไงกับรถC-D Segment ของNissan,neu,neg,0.979,False
กินทุกอย่างไม่ได้,neu,neg,0.683,False
อด😭😭😭,neg,neu,0.528,False
รอเงินออกนะค่ะสามี,neu,pos,0.531,False
ไม่รู้ว่ะรู้แต่กินอะไรไม่อร่อย..แดร่กสปาย4ขวดเมานอนนับดาว,neu,neg,0.989,False
มันพกพาใส่กระเป๋าง่ายดีเวลาไปเที่ยว ต.จ.ว น่ะจร้า,neu,pos,0.619,False
กุเคยเดินขึ้นคอนโดชั้น 9 เพราะว่าไม่อยากรอลิฟท์ อต่พอถึงชั้นสามก็เหนื่อยเลยกดลิฟท์ ลิฟท์อยู่ชั้น 4 เลย เออเดินขึ้นไปอีกชั้นก็ได้ จะได้ถึงลิฟท์ พอเดินขึ้นไปลิฟท์ลงมาชั้นสามกุเลยเดินลงลิฟท์มาชั้นสาม พอมาถึงชั้นสาม ลืมว่าจะทำอะไร กุเลยเดินลงคอนโด แล้วก็ไปหาวินที่คอนโดวิน '__';,neu,neg,0.7,False
อุ้ย ก้อนเขินน้า ><',neu,pos,0.652,False
ตักบาตรอย่าถามสามี5555,pos,neu,0.804,False
เอาว่าไฮเนเก้นแพ๊คคู่118บาท ตอนนี้ขึ้นเป็น138บาท ที่เซเว่นนะ,neg,neu,0.826,False
หมดวันไหน,q,pos,0.542,False
บอกซ้า,neu,pos,0.67,False
ยาริสใหม่กะโน๊ตตัวไหนน่าเล่นกว่ากันคับ,neu,q,0.96,False
ขอให้ปีนี้ได้เสพบรรยากาศดีๆอีกครั้ง #Sangsom #GypsyCarnival2018,pos,neu,0.519,False
ปีนี้ปีทองของเขาจริงๆ mazda2 MY2018 เล่นปรับอุปกรณ์ซะ คู่แข่งอย่าง city ต้องมีหนาว,neu,neg,0.731,False
คิวผ่ามะเร็ง..รอกันข้ามปีแล้ว..โรงพยาบาลคนแน่นกว่า..ห้างสรรพสินค้าแล้ว..ในรพ.ไม่มีที่นั่ง..แต่เจ้ากระทรวงก็รู้สึกเฉยๆ.โดยทุกคนไม่มองถึงต้นเหตุของโรคภัย เป้าหมายคือถกเถียงเรื่อง..งบประมาณใครได้เท่าไร.!,neu,neg,0.499,False
การ์นิเย่ เอจเลส ไวท์ สูตรเพื่อผิวอายุ 30+ และมี SPF30/PA+++ เพราะเป็นเซรั่มครีมที่ลดเลือนริ้วรอบ ผิวกระจ่างใสคะ,pos,neu,0.674,False
หิวเมื่อไหร่ก็แวะได้น่า..อิอิอิ,neu,pos,0.569,False
ไม่เคยค่ะ เคยเห็นแต่เพื่อนบ้านเลิกขายประกันหันมาขอ อย.กลายร่างเป็นนักวิทย์สายเคมีกรอกอาหารเสริมขายแปร๊บเดียวเปลี่ยนจากมอไซด์เป็นแคมรี่ป้ายแดงแล้ว สงสารตับคนซื้อกินจิมๆ,neu,neg,0.873,False
คือดีย์,neu,pos,0.958,False
อ่อผิดเพราะมีบุหรี่ไฟฟ้า,neu,neg,0.668,False
มึง อยากกิน,neu,pos,0.593,False
ตัวไม่มีบัตสมาชิก,neg,neu,0.792,False
อาทิตย์หน้าไปโดนกัน,neu,pos,0.907,False
พาหนูไปโหน่ยยยยย,neu,pos,0.741,False
เอาเสียยากเลยหราออเจ้า,neg,pos,0.38,False
จัดไปแล้ว,neu,pos,0.585,False
โอ้คไม่ใช่ โอ้ต,pos,neu,0.894,False
^ ^ ^ หญิงสาวผู้พ่ายแพ้ต่อโฆษณา 55555,neu,neg,0.664,False
ป้อมปราบคือจะต่อยกิมโป ช็อตนี้กุตราตรึงมาก 55555555,neu,neg,0.924,False
กินบ่ได้ เบน ปวดหัว ถ้าเป็น เรดเพิ่มเท่าไหร่ค่ะ,neu,neg,0.969,False
ขออย่างเดียว อย่าปลอมหงส์ทองนะคับ ผมชอบกิน!! อิอิ,pos,neg,0.633,False
เข้างานได้ไม่เกินบ่าย 2 นะ อิอิ,pos,neu,0.851,False
มีครับที่แบน แต่น้อยมาก,neg,neu,0.652,False
พรุ่งนี้พี่กันต์มางานToyota พิดโลกเสียดายไม่ได้ไป,neg,neu,0.652,False
เป็นดีลที่ต้องจองโต๊ะผ่าน hungry hub นะคะ มีแค่ที่เทอมินอล21 กับวงเวียนใหญ่ค่ะ,pos,neu,0.91,False
เรื่องกินขอให้บอก,pos,neu,0.595,False
คือมันดีจริงๆ แบบไม่คิดว่าดีขนาดนี้อ่ะ ตัด 4u2 ทิ้งเลยตอนนี้ 5555555 เนื้อก็เบาปาก สีก็สุภาพ ถูกอีก โอเคสามผ่านนนนน,neg,pos,0.846,False
มากินสิงห์บุรีสิ 5555555,neu,pos,0.581,False
กุอยากกิน,neu,pos,0.619,False
ขอข้อมูลค่ะ Cx3 กับ mazda2,neu,q,0.816,False
จริงๆแหละ,neu,pos,0.463,False
พรุ่งนี้ต้องไปจัดฮอตพอทอีกซะแล้ว หิวมันตั้งแต่วันนี้เลยแม่ง,neg,pos,0.638,False
เอาอีกละ,neu,pos,0.619,False
ใช่ๆๆลงทุนไปเยอะแล้วจะหยุดได้ไง,neu,pos,0.62,False
มันก็ออกมาบอกคนที่เป็นพ่อเป็นแม่ พอพ่อแม่ฟังข่าวเสร๊จก็มาบอกลูกบอกหลานที่สูบ แล้วก็ต้องอธิบายความจริงกันชุดใหญ่ แล้วลูกหลานเคยเถียงพ่อแม่ชนะบ้างมั้ยคัฟ,neu,neg,0.52,False
แม่จ๋า,pos,neu,0.55,False
มันจะดีนะ555,neu,pos,0.517,False
ชอบที่สุดเลย Honda accord hybrid ขับสบาย ระบบความปลอดภัยเยี่ยม กว้างขวาง ขับขึ้นเหนือล่องใต้ก็ไม่ต้องกังวล กินน้ำมันน้อย สิ่งอำนวยความสะดวกครบครัน. #ฮอนด้าที่รัก #EnjoyHondaThailand,neu,pos,0.976,False
อ้วนนะ,neu,pos,0.499,False
ถ้ากินเอมเคด้วย เจ๊ง 5555,pos,neg,0.968,False
มากินลีโอมา,neu,pos,0.761,False
5555 มันมะลำ บอกเลยย,neg,neu,0.479,False
เมือไหร่จะได้ทำกินอีก,neu,pos,0.869,False
